SETTLEMENT_DATE,SETTLEMENT_PERIOD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,IFA_FLOW,IFA2_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,NEMO_FLOW,NSL_FLOW
01-Aug-21,1,18797,650,6527,0,13080,0,271,1515,759,372,-122,0,759,-1
01-Aug-21,2,18144,645,6527,0,13080,0,270,1508,753,372,-183,0,755,-1
01-Aug-21,3,17693,642,6527,0,13080,0,271,1507,752,371,-81,0,755,-1
01-Aug-21,4,17486,638,6527,0,13080,0,12,1508,749,371,-165,0,755,-1
01-Aug-21,5,17102,640,6527,0,13080,0,56,1411,705,369,-190,0,709,-1
01-Aug-21,6,16648,641,6527,0,13080,0,303,1408,702,369,-175,0,707,-1
01-Aug-21,7,16460,639,6527,0,13080,0,535,1408,703,370,-276,0,707,-1
01-Aug-21,8,16248,637,6527,0,13080,0,686,1408,704,370,-306,0,707,-1
01-Aug-21,9,16182,627,6527,0,13080,0,695,1504,749,369,-297,0,754,-1
01-Aug-21,10,16079,616,6527,0,13080,0,860,1508,752,369,-308,0,755,-1
01-Aug-21,11,16098,605,6527,0,13080,0,855,1508,752,371,-309,0,755,-1
01-Aug-21,12,16001,593,6527,9,13080,0,784,1508,752,371,-303,0,755,-1
01-Aug-21,13,16467,594,6527,96,13080,0,407,1508,752,371,-303,-11,755,-1
01-Aug-21,14,16851,595,6527,276,13080,0,301,1507,752,371,-303,-66,755,-1
01-Aug-21,15,17568,604,6527,539,13080,0,41,1508,752,369,-371,-181,756,-1
01-Aug-21,16,18293,613,6527,901,13080,0,8,1507,753,372,-452,-71,755,-1
01-Aug-21,17,19084,642,6527,1260,13080,0,11,1699,843,833,-454,-19,849,-1
01-Aug-21,18,20165,671,6527,1530,13080,0,11,1706,849,855,-454,-51,852,-1
01-Aug-21,19,20719,692,6527,2100,13080,0,12,1802,893,903,-454,-170,899,-1
01-Aug-21,20,21245,712,6527,2710,13080,0,13,1805,897,904,-454,-98,901,-1
01-Aug-21,21,21663,707,6527,3170,13080,0,13,1733,874,951,-454,-189,949,-1
01-Aug-21,22,21771,702,6527,3530,13080,0,13,1730,872,953,-454,-186,951,-1
01-Aug-21,23,21863,696,6527,3700,13080,0,13,1611,851,953,-454,-156,951,-1
01-Aug-21,24,21953,689,6527,3780,13080,0,13,1606,850,953,-454,-160,951,-1
01-Aug-21,25,22272,684,6527,3920,13080,0,12,1439,826,954,-452,-29,950,-1
01-Aug-21,26,22124,679,6527,4100,13080,0,13,1438,830,953,-451,-120,950,-1
01-Aug-21,27,21954,699,6527,4350,13080,0,13,1979,982,1001,-453,-273,997,-1
01-Aug-21,28,21605,719,6527,4350,13080,0,11,2004,992,1003,-439,-425,999,-1
01-Aug-21,29,21532,743,6527,4370,13080,0,8,2004,992,1003,-335,-511,999,-1
01-Aug-21,30,21492,767,6527,3860,13080,0,8,2004,992,1003,-379,-531,999,-1
01-Aug-21,31,21507,763,6527,3760,13080,0,8,2004,992,1002,-453,-435,999,-1
01-Aug-21,32,21844,758,6527,3810,13080,0,7,2003,992,1003,-444,-406,999,-1
01-Aug-21,33,22366,772,6527,3510,13080,0,9,2004,991,1003,-385,-520,1018,-1
01-Aug-21,34,23223,785,6527,3220,13080,0,10,2004,991,1003,-451,-421,1019,-1
01-Aug-21,35,24045,775,6527,2730,13080,0,12,2004,992,1003,-453,-269,1019,-1
01-Aug-21,36,24424,765,6527,2170,13080,0,15,2004,992,1004,-453,-116,1019,-1
01-Aug-21,37,24786,740,6527,1750,13080,0,14,2004,992,1002,-453,-85,1019,-1
01-Aug-21,38,24729,714,6527,1340,13080,0,14,2003,991,1003,-438,-77,1019,-1
01-Aug-21,39,24700,644,6527,876,13080,0,11,2004,991,1004,-351,-1,1019,-1
01-Aug-21,40,24534,573,6527,506,13080,0,8,2004,990,1003,-440,-56,1019,-1
01-Aug-21,41,24428,527,6527,177,13080,0,8,2004,990,1003,-454,-4,1019,-1
01-Aug-21,42,24291,480,6527,17,13080,0,8,2003,990,1003,-454,0,1019,-1
01-Aug-21,43,24466,448,6527,0,13080,0,8,2004,991,806,-403,-1,1000,-1
01-Aug-21,44,23721,415,6527,0,13080,0,7,2004,991,798,-328,-95,999,-1
01-Aug-21,45,22867,395,6527,0,13080,0,8,1908,947,798,-402,-246,953,-1
01-Aug-21,46,21667,375,6527,0,13080,0,8,1905,942,798,-373,-398,951,-1
01-Aug-21,47,20366,359,6527,0,13080,0,8,1713,853,854,-324,-413,857,-1
01-Aug-21,48,19366,343,6527,0,13080,0,8,1706,846,856,-426,-261,853,-1
02-Aug-21,1,18458,333,6527,0,13080,0,8,1610,803,809,-453,-109,805,-1
02-Aug-21,2,17987,322,6527,0,13080,0,11,1607,798,806,-408,-13,803,-1
02-Aug-21,3,17541,311,6527,0,13080,0,155,1607,798,807,-353,-91,804,-1
02-Aug-21,4,17417,300,6527,0,13080,0,399,1607,798,807,-353,-26,804,-1
02-Aug-21,5,17215,293,6527,0,13080,0,428,1607,799,806,-353,-142,802,-1
02-Aug-21,6,16932,285,6527,0,13080,0,410,1607,800,806,-353,-165,802,-1
02-Aug-21,7,16659,277,6527,0,13080,0,441,1607,800,806,-353,-92,802,-1
02-Aug-21,8,16545,269,6527,0,13080,0,407,1607,798,806,-353,-147,802,-1
02-Aug-21,9,16590,272,6527,0,13080,0,432,1511,754,762,-353,-115,757,-1
02-Aug-21,10,16671,274,6527,0,13080,0,411,1507,751,760,-353,-137,755,-1
02-Aug-21,11,17066,264,6527,0,13080,0,426,1507,750,760,-353,-221,755,-1
02-Aug-21,12,17604,254,6527,24,13080,0,318,1507,752,760,-353,-132,755,-1
02-Aug-21,13,19280,247,6527,214,13080,0,17,1699,841,804,-353,-190,849,-1
02-Aug-21,14,20619,239,6527,533,13080,0,3,1707,848,807,-353,-234,852,-1
02-Aug-21,15,22204,228,6527,1010,13080,0,3,1974,846,855,-399,-383,994,-1
02-Aug-21,16,23158,217,6527,1560,13080,0,3,1984,849,856,-453,-388,999,-1
02-Aug-21,17,24183,220,6527,2230,13080,0,5,2004,982,994,-447,-239,999,-1
02-Aug-21,18,24640,223,6527,2870,13080,0,7,2004,992,999,-453,-279,999,-1
02-Aug-21,19,24774,225,6527,3580,13080,0,6,2005,992,1003,-453,-342,999,-1
02-Aug-21,20,24630,226,6527,4180,13080,0,7,2005,992,1003,-453,-417,999,-1
02-Aug-21,21,24498,234,6527,4610,13080,0,7,2005,992,1003,-453,-501,999,-1
02-Aug-21,22,24386,242,6527,4620,13080,0,7,2005,993,1003,-453,-512,999,-1
02-Aug-21,23,24363,253,6527,5080,13080,0,11,2004,993,930,-453,-535,999,-1
02-Aug-21,24,24557,263,6527,5010,13080,0,8,2005,993,927,-453,-535,999,-1
02-Aug-21,25,24577,285,6527,4600,13080,0,7,2005,994,1000,-453,-536,999,-1
02-Aug-21,26,24527,307,6527,4170,13080,0,7,2004,994,1003,-453,-536,999,-1
02-Aug-21,27,24547,330,6527,4060,13080,0,7,2004,994,1002,-453,-535,998,-1
02-Aug-21,28,24431,353,6527,4430,13080,0,9,2005,993,1003,-453,-536,999,-1
02-Aug-21,29,24664,383,6527,4350,13080,0,9,2004,994,1003,-453,-535,999,-1
02-Aug-21,30,24903,413,6527,3780,13080,0,8,2005,993,1003,-453,-536,999,-1
02-Aug-21,31,25232,438,6527,3140,13080,0,8,2005,992,1003,-453,-536,999,-1
02-Aug-21,32,25499,463,6527,3300,13080,0,8,2005,992,1003,-453,-536,999,-1
02-Aug-21,33,25937,483,6527,2630,13080,0,8,2005,993,1003,-453,-535,1018,-1
02-Aug-21,34,26588,502,6527,2160,13080,0,12,2005,993,1003,-453,-536,1019,-1
02-Aug-21,35,27241,503,6527,1980,13080,0,6,2005,992,1002,-453,-536,1019,-1
02-Aug-21,36,27609,503,6527,1670,13080,0,1,2004,992,1003,-453,-503,1019,-1
02-Aug-21,37,27973,497,6527,1410,13080,0,1,2005,992,1003,-453,-365,1019,-1
02-Aug-21,38,27993,490,6527,1020,13080,0,3,2005,993,1003,-453,-335,1020,-1
02-Aug-21,39,27641,453,6527,704,13080,0,9,2004,992,1003,-453,-266,1019,-1
02-Aug-21,40,27468,415,6527,425,13080,0,11,2004,992,1003,-453,-396,1019,-1
02-Aug-21,41,27103,404,6527,165,13080,0,9,2004,991,1003,-453,-471,1019,-1
02-Aug-21,42,26679,392,6527,20,13080,0,12,2004,992,1003,-453,-506,1019,-1
02-Aug-21,43,26414,389,6527,0,13080,0,11,2004,992,1002,-453,-414,1000,-1
02-Aug-21,44,25657,386,6527,0,13080,0,10,2004,992,1002,-453,-510,1000,-1
02-Aug-21,45,24379,371,6527,0,13080,0,7,2004,992,1003,-453,-536,999,-1
02-Aug-21,46,22959,355,6527,0,13080,0,7,2003,988,1003,-453,-535,999,-1
02-Aug-21,47,21494,340,6527,0,13080,0,7,1717,857,861,-390,-466,859,-1
02-Aug-21,48,20346,324,6527,0,13080,0,5,1706,847,857,-425,-313,854,-1
03-Aug-21,1,19406,316,6527,0,13080,0,3,1610,803,808,-454,-160,806,-1
03-Aug-21,2,18810,308,6527,0,13080,0,5,1607,800,806,-454,-100,804,-1
03-Aug-21,3,18373,295,6527,0,13080,0,159,1607,799,806,-454,-10,803,-1
03-Aug-21,4,18204,281,6527,0,13080,0,276,1606,800,806,-454,0,803,-1
03-Aug-21,5,17794,271,6527,0,13080,0,524,1607,799,806,-454,-68,803,-1
03-Aug-21,6,17434,261,6527,0,13080,0,610,1607,799,806,-454,-134,803,-1
03-Aug-21,7,17236,251,6527,0,13080,0,608,1609,800,548,-454,-20,805,-1
03-Aug-21,8,17138,241,6527,0,13080,0,605,1609,799,537,-454,-107,805,-1
03-Aug-21,9,17200,245,6527,0,13080,0,606,1607,798,666,-454,-116,804,-1
03-Aug-21,10,17350,249,6527,0,13080,0,601,1607,797,670,-454,-7,804,-1
03-Aug-21,11,17616,242,6527,0,13080,0,560,1589,800,714,-454,0,803,-1
03-Aug-21,12,18147,235,6527,23,13080,0,436,1588,802,711,-438,-59,803,-1
03-Aug-21,13,19777,231,6527,252,13080,0,9,1798,888,234,-340,-175,895,-1
03-Aug-21,14,21078,226,6527,652,13080,0,3,1806,897,212,-431,-327,898,-1
03-Aug-21,15,22764,215,6527,1210,13080,0,4,1997,986,490,-453,-478,957,-1
03-Aug-21,16,23886,204,6527,1810,13080,0,4,2003,991,505,-453,-535,959,-1
03-Aug-21,17,24893,211,6527,2420,13080,0,5,2004,993,979,-453,-536,998,-1
03-Aug-21,18,25225,218,6527,2930,13080,0,4,2004,992,1003,-453,-535,999,-1
03-Aug-21,19,25123,223,6527,3680,13080,0,3,2004,994,1003,-453,-535,999,-1
03-Aug-21,20,24529,228,6527,4420,13080,0,8,2004,995,1003,-453,-536,999,-1
03-Aug-21,21,24093,256,6527,4900,13080,0,8,1730,980,1003,-453,-535,999,-1
03-Aug-21,22,23848,284,6527,5720,13080,0,8,1720,980,1003,-453,-535,999,-1
03-Aug-21,23,23525,309,6527,6440,13080,0,11,1635,969,1003,-453,-536,999,-1
03-Aug-21,24,23399,333,6527,6610,13080,0,12,1631,965,1003,-453,-536,999,-1
03-Aug-21,25,23616,358,6527,6590,13080,0,12,1703,902,1003,-453,-535,999,-1
03-Aug-21,26,23571,383,6527,6520,13080,0,8,1706,899,1003,-453,-536,999,-1
03-Aug-21,27,23523,397,6527,6730,13080,0,7,1564,943,1003,-453,-536,999,-1
03-Aug-21,28,23367,411,6527,6370,13080,0,7,1556,944,1003,-453,-536,999,-1
03-Aug-21,29,23534,436,6527,6310,13080,0,7,1605,900,1003,-453,-536,999,-1
03-Aug-21,30,23507,460,6527,5940,13080,0,7,1608,898,1003,-453,-535,999,-1
03-Aug-21,31,23724,467,6527,5490,13080,0,7,1618,896,1003,-453,-535,999,-1
03-Aug-21,32,24222,474,6527,4910,13080,0,7,1608,896,1004,-453,-536,999,-1
03-Aug-21,33,24759,499,6527,4230,13080,0,7,1893,896,1003,-453,-536,1018,-1
03-Aug-21,34,25407,523,6527,3680,13080,0,10,1905,898,1003,-453,-535,1019,-1
03-Aug-21,35,26163,525,6527,3160,13080,0,8,2000,987,1003,-453,-535,1019,-1
03-Aug-21,36,26833,526,6527,2590,13080,0,6,2004,992,1003,-453,-536,1019,-1
03-Aug-21,37,27105,504,6527,1980,13080,0,6,2005,993,1002,-453,-535,841,-1
03-Aug-21,38,27228,481,6527,1320,13080,0,8,2005,992,1002,-453,-535,834,-1
03-Aug-21,39,27381,447,6527,784,13080,0,10,2005,991,1003,-453,-535,744,-1
03-Aug-21,40,27263,412,6527,395,13080,0,9,2005,990,1002,-453,-535,740,-1
03-Aug-21,41,26656,397,6527,128,13080,0,7,2005,992,1003,-453,-536,741,-1
03-Aug-21,42,26520,382,6527,12,13080,0,10,2004,991,1002,-453,-535,740,-1
03-Aug-21,43,26384,377,6527,2,13080,0,9,2004,990,1003,-453,-536,861,-1
03-Aug-21,44,25550,371,6527,1,13080,0,9,2004,991,1003,-453,-536,865,-1
03-Aug-21,45,24549,359,6527,0,13080,0,5,2003,991,1003,-453,-535,995,-1
03-Aug-21,46,23146,347,6527,0,13080,0,3,2002,988,1003,-453,-535,999,-1
03-Aug-21,47,21505,342,6527,0,13080,0,3,1717,856,862,-453,-465,859,-1
03-Aug-21,48,20414,337,6527,0,13080,0,3,1705,845,857,-453,-313,853,-1
04-Aug-21,1,19466,341,6527,0,13080,0,3,1610,802,810,-453,-189,806,-1
04-Aug-21,2,18903,345,6527,0,13080,0,5,1607,800,809,-385,-289,804,-1
04-Aug-21,3,18539,339,6527,0,13080,0,120,1607,800,807,-303,-337,804,-1
04-Aug-21,4,18351,333,6527,0,13080,0,151,1607,800,808,-303,-312,804,-1
04-Aug-21,5,18078,329,6527,0,13080,0,449,1608,801,806,-303,-193,799,-1
04-Aug-21,6,17727,324,6527,0,13080,0,487,1608,801,808,-303,-223,798,-1
04-Aug-21,7,17535,319,6527,0,13080,0,688,1607,800,807,-303,-138,803,-1
04-Aug-21,8,17409,313,6527,0,13080,0,817,1607,800,808,-303,-136,803,-1
04-Aug-21,9,17510,334,6527,0,13080,0,814,1607,801,808,-303,-122,802,-1
04-Aug-21,10,17536,354,6527,0,13080,0,762,1607,801,807,-303,-106,802,-1
04-Aug-21,11,17904,355,6527,0,13080,0,542,1608,802,804,-303,-216,803,-1
04-Aug-21,12,18280,356,6527,32,13080,0,364,1608,802,798,-303,-123,803,-1
04-Aug-21,13,19741,353,6527,282,13080,0,14,1703,845,252,-337,-20,850,-1
04-Aug-21,14,20956,350,6527,746,13080,0,7,1707,850,237,-432,-141,852,-1
04-Aug-21,15,22406,335,6527,1320,13080,0,8,1991,939,976,-453,-293,857,-1
04-Aug-21,16,23236,319,6527,2040,13080,0,10,2004,946,1022,-438,-377,857,-1
04-Aug-21,17,24041,340,6527,2880,13080,0,11,2004,989,1021,-453,-511,994,-1
04-Aug-21,18,24132,361,6527,3640,13080,0,12,2004,990,1022,-454,-535,999,-1
04-Aug-21,19,24006,388,6527,4420,13080,0,7,2004,903,1021,-454,-536,999,-1
04-Aug-21,20,23442,414,6527,5220,13080,0,8,2004,892,1021,-454,-535,999,-1
04-Aug-21,21,23064,470,6527,5990,13080,0,8,1956,717,1021,-454,-535,999,-1
04-Aug-21,22,22727,525,6527,6550,13080,0,7,1953,712,1022,-454,-536,999,-1
04-Aug-21,23,22721,582,6527,7090,13080,0,7,1571,975,1021,-454,-536,999,-1
04-Aug-21,24,22777,638,6527,7320,13080,0,4,1555,992,1022,-454,-535,999,-1
04-Aug-21,25,22829,694,6527,7420,13080,0,2,1602,949,1022,-454,-535,999,-1
04-Aug-21,26,22803,750,6527,7400,13080,0,2,1605,948,1021,-454,-535,999,-1
04-Aug-21,27,22674,789,6527,7250,13080,0,8,1803,991,1022,-454,-536,999,-1
04-Aug-21,28,22557,828,6527,7080,13080,0,4,1805,993,1022,-454,-535,999,-1
04-Aug-21,29,22716,882,6527,6900,13080,0,4,1805,993,1021,-454,-535,999,-1
04-Aug-21,30,22895,935,6527,6490,13080,0,4,1805,993,1022,-454,-535,999,-1
04-Aug-21,31,23223,956,6527,6060,13080,0,3,1808,993,1021,-454,-535,998,-1
04-Aug-21,32,23541,977,6527,5650,13080,0,6,1805,993,1022,-454,-536,998,-1
04-Aug-21,33,24027,988,6527,5050,13080,0,7,1996,994,983,-454,-535,1014,-1
04-Aug-21,34,24820,999,6527,4400,13080,0,9,2004,992,981,-454,-535,1014,-1
04-Aug-21,35,25693,996,6527,3710,13080,0,12,2004,992,718,-454,-536,1019,-1
04-Aug-21,36,26425,992,6527,2890,13080,0,6,2004,993,707,-408,-535,1018,-1
04-Aug-21,37,26676,958,6527,2220,13080,0,6,2005,992,630,-324,-535,656,-1
04-Aug-21,38,26831,923,6527,1490,13080,0,5,2005,991,627,-235,-535,641,-1
04-Aug-21,39,26772,884,6527,900,13080,0,9,2005,992,870,-181,-512,737,-1
04-Aug-21,40,26668,845,6527,391,13080,0,11,2005,992,879,-90,-438,740,-1
04-Aug-21,41,26834,833,6527,95,13080,0,11,2004,991,1017,-191,-530,933,-1
04-Aug-21,42,26563,820,6527,6,13080,0,11,2004,991,1021,-99,-518,939,-1
04-Aug-21,43,26469,830,6527,3,13080,0,13,2004,992,1022,12,-414,997,-1
04-Aug-21,44,25543,839,6527,2,13080,0,11,2004,993,1021,-71,-484,1000,-1
04-Aug-21,45,24214,880,6527,0,13080,0,13,2004,992,1022,-33,-395,999,-1
04-Aug-21,46,22736,921,6527,0,13080,0,12,2002,986,1021,-128,-425,999,-1
04-Aug-21,47,21356,970,6527,0,13080,0,8,1621,812,815,-114,-377,810,-1
04-Aug-21,48,20107,1018,6527,0,13080,0,12,1605,798,807,63,-225,803,-1
05-Aug-21,1,19225,1053,6527,0,13080,0,9,1378,692,697,227,-73,691,-1
05-Aug-21,2,18590,1088,6527,0,13080,0,12,1368,683,692,287,18,686,-1
05-Aug-21,3,18189,1105,6527,0,13080,0,12,1368,683,693,388,149,686,-1
05-Aug-21,4,17977,1122,6527,0,13080,0,12,1367,682,693,402,237,685,-1
05-Aug-21,5,17726,1133,6527,0,13080,0,12,1367,683,693,402,228,687,-1
05-Aug-21,6,17376,1144,6527,0,13080,0,16,1367,683,693,402,251,687,-1
05-Aug-21,7,17128,1144,6527,0,13080,0,213,1367,683,693,402,323,682,-1
05-Aug-21,8,16999,1143,6527,0,13080,0,362,1367,682,693,402,252,681,-1
05-Aug-21,9,17044,1189,6527,0,13080,0,361,1368,681,693,402,239,687,-1
05-Aug-21,10,17086,1235,6527,0,13080,0,361,1369,681,693,402,305,687,-1
05-Aug-21,11,17467,1278,6527,2,13080,0,294,1369,681,689,402,237,687,-1
05-Aug-21,12,17871,1321,6527,43,13080,0,294,1368,684,688,402,193,687,-1
05-Aug-21,13,19317,1386,6527,187,13080,0,20,1503,746,674,402,189,747,-1
05-Aug-21,14,20428,1451,6527,519,13080,0,13,1511,753,674,370,151,749,-1
05-Aug-21,15,21935,1523,6527,994,13080,0,13,1706,840,520,236,39,831,-1
05-Aug-21,16,22911,1595,6527,1610,13080,0,14,1705,847,516,228,118,834,-1
05-Aug-21,17,23859,1719,6527,2370,13080,0,14,1801,892,867,114,24,899,-1
05-Aug-21,18,24135,1842,6527,2980,13080,0,13,1805,896,882,156,17,901,-1
05-Aug-21,19,24149,1980,6527,3760,13080,0,14,1901,940,950,46,0,948,-1
05-Aug-21,20,23976,2118,6527,4490,13080,0,10,1904,943,954,-83,0,950,-1
05-Aug-21,21,23731,2289,6527,4470,13080,0,9,1904,944,954,-246,-65,950,-1
05-Aug-21,22,23616,2459,6527,4540,13080,0,9,1904,944,953,-395,-101,950,-1
05-Aug-21,23,23857,2602,6527,4630,13080,0,8,1905,942,953,-385,-128,950,-1
05-Aug-21,24,24158,2745,6527,4560,13080,0,9,1905,943,953,-290,-259,950,-1
05-Aug-21,25,24619,2856,6527,4200,13080,0,5,1933,966,953,-310,-356,998,-1
05-Aug-21,26,24645,2967,6527,4110,13080,0,6,1934,966,953,-313,-438,999,-1
05-Aug-21,27,24589,3008,6527,3630,13080,0,9,1858,923,931,-299,-345,929,-1
05-Aug-21,28,24630,3049,6527,3080,13080,0,8,1855,918,930,-379,-442,926,-1
05-Aug-21,29,24709,3020,6527,3010,13080,0,9,1807,898,906,-415,-396,903,-1
05-Aug-21,30,24905,2990,6527,2920,13080,0,9,1805,896,905,-434,-469,902,-1
05-Aug-21,31,24982,2937,6527,2340,13080,0,9,1808,895,905,-372,-523,901,-1
05-Aug-21,32,25280,2884,6527,1940,13080,0,9,1805,894,905,-318,-511,900,-1
05-Aug-21,33,25875,2813,6527,1860,13080,0,11,1805,895,905,-384,-508,901,-1
05-Aug-21,34,26791,2741,6527,1440,13080,0,13,1805,895,906,-379,-383,901,-1
05-Aug-21,35,27504,2706,6527,1270,13080,0,8,1806,895,905,-244,-410,901,-1
05-Aug-21,36,27863,2670,6527,1190,13080,0,6,1806,894,905,-325,-301,901,-1
05-Aug-21,37,27941,2625,6527,877,13080,0,7,1854,917,841,-413,-153,907,-1
05-Aug-21,38,27716,2580,6527,538,13080,0,9,1855,919,839,-399,-143,907,-1
05-Aug-21,39,27690,2575,6527,284,13080,0,12,1810,897,903,-300,-34,902,-1
05-Aug-21,40,27359,2569,6527,100,13080,0,9,1805,893,906,-414,-110,901,-1
05-Aug-21,41,26763,2513,6527,24,13080,0,8,1709,851,769,-454,-48,855,-1
05-Aug-21,42,26368,2457,6527,2,13080,0,11,1705,847,763,-417,-71,854,-1
05-Aug-21,43,25878,2430,6527,1,13080,0,11,1608,802,807,-280,24,807,-1
05-Aug-21,44,24708,2403,6527,1,13080,0,10,1605,795,809,-259,-10,804,-1
05-Aug-21,45,23477,2369,6527,0,13080,0,9,1376,690,697,-127,25,691,-1
05-Aug-21,46,22171,2334,6527,0,13080,0,13,1361,673,691,-86,0,687,-1
05-Aug-21,47,20803,2311,6527,0,13080,0,54,799,339,303,-38,0,593,-1
05-Aug-21,48,19580,2287,6527,0,13080,0,103,771,315,286,-144,0,589,-1
06-Aug-21,1,18732,2242,6527,0,13080,0,212,728,270,315,-261,-63,636,-1
06-Aug-21,2,18188,2197,6527,0,13080,0,297,727,266,317,-302,-58,637,-1
06-Aug-21,3,17795,2155,6527,0,13080,0,652,705,178,431,-302,0,637,-1
06-Aug-21,4,17585,2112,6527,0,13080,0,859,704,176,426,-271,0,637,-1
06-Aug-21,5,17199,2109,6527,0,13080,0,730,913,353,105,-180,0,637,-1
06-Aug-21,6,16871,2105,6527,0,13080,0,930,922,366,103,-191,0,637,-1
06-Aug-21,7,16672,2084,6527,0,13080,0,924,971,388,3,-62,0,636,-1
06-Aug-21,8,16594,2062,6527,0,13080,0,871,973,385,0,-18,0,637,-1
06-Aug-21,9,16634,2053,6527,0,13080,0,641,877,252,191,83,0,637,-1
06-Aug-21,10,16718,2043,6527,0,13080,0,635,873,251,204,187,0,637,-1
06-Aug-21,11,17150,2028,6527,0,13080,0,81,978,529,-238,148,0,684,-1
06-Aug-21,12,17572,2013,6527,6,13080,0,13,983,554,-257,289,0,686,-1
06-Aug-21,13,19006,2012,6527,97,13080,0,13,1350,737,-2,299,0,753,-1
06-Aug-21,14,20190,2010,6527,298,13080,0,13,1371,753,0,349,0,755,-1
06-Aug-21,15,21955,2013,6527,630,13080,0,13,1703,842,701,239,0,850,-1
06-Aug-21,16,23247,2015,6527,994,13080,0,9,1705,847,856,265,0,853,-1
06-Aug-21,17,24163,2077,6527,1430,13080,0,8,1754,869,882,140,0,875,-1
06-Aug-21,18,24555,2139,6527,1860,13080,0,8,1756,871,882,64,0,876,-1
06-Aug-21,19,24579,2168,6527,2400,13080,0,7,1803,893,833,23,0,900,-1
06-Aug-21,20,24439,2197,6527,2870,13080,0,8,1805,896,832,14,0,902,-1
06-Aug-21,21,24185,2265,6527,3520,13080,0,8,1805,895,830,-83,0,901,-1
06-Aug-21,22,23717,2333,6527,4260,13080,0,8,1805,897,830,-190,0,901,-1
06-Aug-21,23,23299,2388,6527,4920,13080,0,6,1805,897,828,-203,0,901,-1
06-Aug-21,24,23040,2443,6527,4990,13080,0,3,1804,895,827,-279,0,901,-1
06-Aug-21,25,23183,2490,6527,5070,13080,0,3,1757,873,783,-324,0,877,-1
06-Aug-21,26,22881,2536,6527,5710,13080,0,3,1756,871,782,-330,0,877,-1
06-Aug-21,27,22268,2586,6527,5250,13080,0,3,1715,849,854,-396,0,854,-1
06-Aug-21,28,21737,2635,6527,5430,13080,0,5,1706,847,857,-454,-13,853,-1
06-Aug-21,29,21543,2649,6527,5480,13080,0,8,1610,801,808,-454,-62,805,-1
06-Aug-21,30,21171,2663,6527,4990,13080,0,6,1608,798,806,-454,-196,803,-1
06-Aug-21,31,21137,2632,6527,5070,13080,0,7,1618,799,808,-454,-130,804,-1
06-Aug-21,32,21504,2600,6527,4700,13080,0,7,1607,798,808,-454,-86,804,-1
06-Aug-21,33,21750,2543,6527,4350,13080,0,7,1607,798,807,-454,-125,804,-1
06-Aug-21,34,22554,2485,6527,3720,13080,0,7,1607,800,807,-399,-10,804,-1
06-Aug-21,35,23233,2420,6527,2960,13080,0,7,1702,843,851,-251,-8,851,-1
06-Aug-21,36,23712,2354,6527,2540,13080,0,7,1706,846,853,-101,-61,853,-1
06-Aug-21,37,24138,2287,6527,1960,13080,0,7,1706,846,857,23,27,853,-1
06-Aug-21,38,24291,2219,6527,1410,13080,0,4,1706,845,857,146,0,853,-1
06-Aug-21,39,24358,2149,6527,848,13080,0,3,1624,801,811,218,0,806,-1
06-Aug-21,40,24098,2079,6527,369,13080,0,4,1606,798,808,168,0,804,-1
06-Aug-21,41,23871,2023,6527,91,13080,0,7,1607,799,806,125,0,804,-1
06-Aug-21,42,23653,1966,6527,6,13080,0,6,1606,797,806,119,0,804,-1
06-Aug-21,43,23726,1941,6527,2,13080,0,4,1512,753,764,114,0,758,-1
06-Aug-21,44,23394,1916,6527,1,13080,0,7,1508,750,762,56,0,757,-1
06-Aug-21,45,22453,1892,6527,0,13080,0,8,1373,688,694,-83,0,691,-1
06-Aug-21,46,21256,1867,6527,0,13080,0,50,1340,676,653,-146,0,688,-1
06-Aug-21,47,19857,1851,6527,0,13080,0,18,389,436,106,-102,0,688,-1
06-Aug-21,48,18812,1835,6527,0,13080,0,257,323,424,103,-37,0,687,-1
07-Aug-21,1,18099,1815,6527,0,13080,0,788,563,588,103,-171,0,654,-1
07-Aug-21,2,17465,1794,6527,0,13080,0,922,569,601,103,-276,-14,652,-1
07-Aug-21,3,16881,1774,6527,0,13080,0,937,127,654,-129,-297,0,630,-1
07-Aug-21,4,16713,1753,6527,0,13080,0,938,108,650,-140,-295,0,629,-1
07-Aug-21,5,16355,1725,6527,0,13080,0,931,121,348,-294,-310,0,661,-1
07-Aug-21,6,16008,1697,6527,0,13080,0,1017,122,327,-300,-310,-8,662,-1
07-Aug-21,7,15807,1678,6527,0,13080,0,1073,100,295,-463,-310,-28,633,-1
07-Aug-21,8,15614,1659,6527,0,13080,0,1195,99,293,-469,-310,-108,633,-1
07-Aug-21,9,15586,1645,6527,0,13080,0,920,170,292,-584,-259,-11,526,-1
07-Aug-21,10,15590,1630,6527,0,13080,0,917,173,292,-588,-167,-23,522,-1
07-Aug-21,11,15783,1626,6527,0,13080,0,914,76,292,-500,-40,0,574,-1
07-Aug-21,12,15662,1621,6527,12,13080,0,721,73,295,-497,47,0,576,-1
